"Admin Passkey","Passkey admin"
"Configuration","Configurazione"
"Passkeys","Passkey"
"Trusted Devices","Dispositivi attendibili"
"Audit Log","Registro di audit"
"Lockouts","Blocchi"
"Migration Dashboard","Dashboard di migrazione"
"Health Check","Controllo di stato"
"Diagnostics","Diagnostica"
"Security Score","Punteggio di sicurezza"
"Recovery","Ripristino"
"White Label & Branding","White label e personalizzazione"
"General","Generale"
"Master settings for the Admin Passkey security suite.","Impostazioni principali della suite di sicurezza Admin Passkey."
"Enable Admin Passkey","Abilita Admin Passkey"
"Master switch for the Admin Passkey suite. When disabled, no passkey behaviour is active.","Interruttore principale della suite Admin Passkey. Quando è disattivato, nessun comportamento delle passkey è attivo."
"Authentication Policy","Politica di autenticazione"
"Control how passkeys, passwords, and Magento 2FA interact on the Admin login.","Controlla come passkey, password e 2FA di Magento interagiscono nell'accesso all'area amministrativa."
"Passkey-First Login","Accesso con passkey prioritario"
"Show the passkey prompt first on the Admin login page when a passkey is available.","Mostra prima la richiesta di passkey nella pagina di accesso admin quando è disponibile una passkey."
"Enable Password Fallback","Abilita ripiego con password"
"Allow username and password login as a fallback. Disabling this can lock admins out; keep a recovery path.","Consenti l'accesso con nome utente e password come ripiego. Disattivarlo può bloccare gli amministratori; mantieni un percorso di ripristino."
"Enable Magento 2FA Fallback","Abilita ripiego 2FA di Magento"
"Use native Magento Two-Factor Authentication as a fallback where required.","Usa l'autenticazione a due fattori nativa di Magento come ripiego dove necessario."
"Onboarding","Onboarding"
"Guide administrators through passkey enrollment.","Guida gli amministratori nella registrazione della passkey."
"Require Passkey Onboarding","Richiedi onboarding della passkey"
"Redirect admins without a passkey to the setup wizard after login, respecting recovery exceptions.","Reindirizza gli amministratori senza passkey alla procedura guidata di configurazione dopo l'accesso, rispettando le eccezioni di ripristino."
"Recommend a Second Passkey","Consiglia una seconda passkey"
"Recommend registering a backup passkey at the end of the setup wizard.","Consiglia di registrare una passkey di backup al termine della procedura guidata di configurazione."
"Remember trusted browsers to reduce repeated verification.","Ricorda i browser attendibili per ridurre le verifiche ripetute."
"Enable Trusted Devices","Abilita dispositivi attendibili"
"Trusted Device Lifetime (days)","Durata del dispositivo attendibile (giorni)"
"Number of days a trusted device remains valid before re-verification is required.","Numero di giorni per cui un dispositivo attendibile rimane valido prima che sia richiesta una nuova verifica."
"Lockout","Blocco"
"Throttle and lock accounts after repeated failed login attempts.","Limita e blocca gli account dopo ripetuti tentativi di accesso falliti."
"Enable Lockout","Abilita il blocco"
"Maximum Failed Attempts","Numero massimo di tentativi falliti"
"Number of failed login attempts before the account is locked.","Numero di tentativi di accesso falliti prima che l'account venga bloccato."
"Lockout Duration (minutes)","Durata del blocco (minuti)"
"How long an account stays locked after exceeding the failed-attempt threshold.","Per quanto tempo un account rimane bloccato dopo aver superato la soglia di tentativi falliti."
"Emergency fallback when passkey authentication blocks Admin access.","Ripiego di emergenza quando l'autenticazione con passkey blocca l'accesso all'area amministrativa."
"Enable Emergency Recovery Mode","Abilita la modalità di ripristino di emergenza"
"Recovery Warning Text","Testo di avviso del ripristino"
"Warning message displayed before an administrator enables emergency recovery.","Messaggio di avviso mostrato prima che un amministratore abiliti il ripristino di emergenza."
"Track passkey adoption progress across administrators.","Monitora l'avanzamento dell'adozione delle passkey tra gli amministratori."
"Enable Migration Dashboard","Abilita la dashboard di migrazione"
"Enable Reminder Emails","Abilita le email di promemoria"
"Allow sending reminder emails to administrators who have not registered a passkey.","Consenti l'invio di email di promemoria agli amministratori che non hanno registrato una passkey."
"Security Dashboard Widget","Widget della dashboard di sicurezza"
"Configurable security-status widget on the Magento Admin dashboard.","Widget configurabile dello stato di sicurezza nella dashboard admin di Magento."
"Enable Dashboard Widget","Abilita il widget della dashboard"
"Enabled by default after installation. Individual cards can be toggled below.","Abilitato per impostazione predefinita dopo l'installazione. Le singole schede possono essere attivate/disattivate di seguito."
"Refresh Interval (seconds)","Intervallo di aggiornamento (secondi)"
"How often the dashboard widget refreshes its data.","Con quale frequenza il widget della dashboard aggiorna i propri dati."
"Card: Passkey Adoption","Scheda: Adozione delle passkey"
"Card: Admins Without Passkeys","Scheda: Amministratori senza passkey"
"Card: Passkey vs Password Login Ratio","Scheda: Rapporto tra accessi con passkey e password"
"Card: Active Lockouts","Scheda: Blocchi attivi"
"Card: Failed Logins (last 24h)","Scheda: Accessi falliti (ultime 24 h)"
"Card: Health Status","Scheda: Stato di salute"
"Card: Recovery Mode Status","Scheda: Stato della modalità di ripristino"
"Card: Trusted Devices","Scheda: Dispositivi attendibili"
"Card: Diagnostics Reports","Scheda: Report diagnostici"
"Card: Audit Events","Scheda: Eventi di audit"
"Card: Last Cleanup","Scheda: Ultima pulizia"
"Card: Last Security Event","Scheda: Ultimo evento di sicurezza"
"Card: Security Score","Scheda: Punteggio di sicurezza"
"Weighting for the 0-100 security score engine. Weights should sum to 100.","Ponderazione per il motore del punteggio di sicurezza 0-100. La somma dei pesi deve essere 100."
"Enable Security Score","Abilita il punteggio di sicurezza"
"Weight: Authentication","Peso: Autenticazione"
"Relative weight of authentication controls in the total score.","Peso relativo dei controlli di autenticazione nel punteggio totale."
"Weight: Security","Peso: Sicurezza"
"Relative weight of platform security controls in the total score.","Peso relativo dei controlli di sicurezza della piattaforma nel punteggio totale."
"Weight: Operational","Peso: Operativo"
"Relative weight of operational controls in the total score.","Peso relativo dei controlli operativi nel punteggio totale."
"Weight: Threats","Peso: Minacce"
"Relative weight of active threat indicators in the total score.","Peso relativo degli indicatori di minaccia attivi nel punteggio totale."
"Environment and configuration sanity checks for the module.","Controlli di coerenza dell'ambiente e della configurazione del modulo."
"Enable Health Check","Abilita il controllo di stato"
"Support diagnostics report generation and delivery.","Generazione e invio di report diagnostici di supporto."
"Enable Diagnostics","Abilita la diagnostica"
"Support Email Recipient","Destinatario dell'email di supporto"
"Destination address used when sending diagnostics reports to the developer.","Indirizzo di destinazione usato per l'invio dei report diagnostici allo sviluppatore."
"Support Reference Prefix","Prefisso del riferimento di supporto"
"Prefix used for the Support Reference ID in ZIP filenames, manifests, and emails.","Prefisso usato per l'ID di riferimento di supporto nei nomi dei file ZIP, nei manifesti e nelle email."
"Cleanup","Pulizia"
"Data retention and scheduled cleanup policies.","Politiche di conservazione dei dati e pulizia pianificata."
"Enable Scheduled Cleanup","Abilita la pulizia pianificata"
"Challenge Retention (days)","Conservazione dei challenge (giorni)"
"How long expired WebAuthn challenges are retained before cleanup.","Per quanto tempo i challenge WebAuthn scaduti vengono conservati prima della pulizia."
"Diagnostics Retention (days)","Conservazione della diagnostica (giorni)"
"How long generated diagnostics reports are retained before cleanup.","Per quanto tempo i report diagnostici generati vengono conservati prima della pulizia."
"Audit Log Retention (days)","Conservazione del registro di audit (giorni)"
"How long audit events are retained before cleanup.","Per quanto tempo gli eventi di audit vengono conservati prima della pulizia."
"Fail2Ban","Fail2Ban"
"Write parseable log lines for Fail2Ban to consume.","Scrive righe di log analizzabili per Fail2Ban."
"Enable Fail2Ban Logging","Abilita il logging per Fail2Ban"
"Fail2Ban Log Path","Percorso del log di Fail2Ban"
"Filesystem path (relative to the Magento root) for Fail2Ban-compatible log lines.","Percorso del filesystem (relativo alla radice di Magento) per le righe di log compatibili con Fail2Ban."
"Optional white-label branding. Enabled by default with FalconMedia defaults.","Personalizzazione white-label facoltativa. Abilitata per impostazione predefinita con i valori FalconMedia."
"Enable Branding","Abilita la personalizzazione"
"When enabled, the configured branding replaces the default FalconMedia branding.","Quando è abilitata, la personalizzazione configurata sostituisce quella predefinita di FalconMedia."
"Company Name","Nome dell'azienda"
"Support Email","Email di supporto"
"Support URL","URL di supporto"
"Documentation URL","URL della documentazione"
"Privacy Policy URL","URL dell'informativa sulla privacy"
"Footer Text","Testo del piè di pagina"
"Primary Accent Color","Colore d'accento principale"
"Hex color used as the primary accent in branded surfaces (e.g. #1f2937).","Colore esadecimale usato come accento principale nelle superfici personalizzate (es. #1f2937)."
"Secondary Accent Color","Colore d'accento secondario"
"Hex color used as the secondary accent in branded surfaces (e.g. #2563eb).","Colore esadecimale usato come accento secondario nelle superfici personalizzate (es. #2563eb)."
"Email Templates","Modelli di email"
"Transactional email templates used by the module.","Modelli di email transazionali usati dal modulo."
"Passkey Reminder Template","Modello di promemoria passkey"
"Email sent to administrators who have not registered a passkey.","Email inviata agli amministratori che non hanno registrato una passkey."
"Lockout Notification Template","Modello di notifica di blocco"
"Email sent when an administrator account is locked out.","Email inviata quando un account amministratore viene bloccato."
"Recovery Notification Template","Modello di notifica di ripristino"
"Email sent when emergency recovery mode is enabled or disabled.","Email inviata quando la modalità di ripristino di emergenza viene abilitata o disabilitata."
"Diagnostics Report Template","Modello di report diagnostico"
"Email used when sending a diagnostics report to the developer.","Email usata per l'invio di un report diagnostico allo sviluppatore."
"Developer Options","Opzioni sviluppatore"
"Diagnostics-only options. Do not enable on production unless instructed.","Opzioni solo per la diagnostica. Non abilitare in produzione se non indicato."
"Enable Debug Logging","Abilita il logging di debug"
"Write verbose module diagnostics to the Magento log. Keep disabled on production.","Scrive diagnostiche dettagliate del modulo nel log di Magento. Mantieni disattivato in produzione."
"ID","ID"
"Created At","Creato il"
"Event Type","Tipo di evento"
"Severity","Gravità"
"Actor (Admin User ID)","Autore (ID utente admin)"
"Target (Admin User ID)","Destinatario (ID utente admin)"
"IP Address","Indirizzo IP"
"User Agent","User agent"
"Support Reference ID","ID di riferimento di supporto"
"Metadata","Metadati"
"Passkey Registration","Registrazione passkey"
"Passkey Login","Accesso con passkey"
"Password Login","Accesso con password"
"Login Failed","Accesso fallito"
"Passkey Revoked","Passkey revocata"
"Trusted Device Revoked","Dispositivo attendibile revocato"
"Account Lockout","Blocco dell'account"
"Account Unlock","Sblocco dell'account"
"Recovery Mode Enabled","Modalità di ripristino abilitata"
"Recovery Mode Disabled","Modalità di ripristino disabilitata"
"Diagnostics Report Generated","Report diagnostico generato"
"Diagnostics Report Sent","Report diagnostico inviato"
"Data Cleanup","Pulizia dei dati"
"Migration Reminder Sent","Promemoria di migrazione inviato"
"Configuration Change","Modifica della configurazione"
"Info","Info"
"Notice","Avviso"
"Warning","Attenzione"
"Critical","Critico"
"WebAuthn","WebAuthn"
"Relying party and ceremony settings for passkey registration and login. Leave RP ID and origin empty to derive them from the store base URL.","Impostazioni della relying party e delle ceremony per la registrazione e l'accesso con passkey. Lascia rpId e origin vuoti per derivarli dall'URL di base del negozio."
"Relying Party Name","Nome della relying party"
"Human-readable name shown by the authenticator during registration. Falls back to the branding company name when empty.","Nome leggibile mostrato dall'autenticatore durante la registrazione. Ricade sul nome dell'azienda della personalizzazione quando è vuoto."
"Relying Party ID (rpId)","ID della relying party (rpId)"
"Registrable domain used as the WebAuthn rpId (e.g. example.com). Leave empty to derive it from the store base URL host.","Dominio registrabile usato come rpId WebAuthn (es. example.com). Lascia vuoto per derivarlo dall'host dell'URL di base del negozio."
"Expected Origin","Origine attesa"
"Origin expected in WebAuthn responses (e.g. https://example.com). Leave empty to derive it from the store base URL.","Origine attesa nelle risposte WebAuthn (es. https://example.com). Lascia vuoto per derivarla dall'URL di base del negozio."
"User Verification","Verifica dell'utente"
"WebAuthn userVerification requirement for registration and assertion ceremonies.","Requisito userVerification di WebAuthn per le ceremony di registrazione e asserzione."
"Resident Key","Resident key"
"WebAuthn residentKey requirement. Preferred or Required enables discoverable (usernameless) passkeys.","Requisito residentKey di WebAuthn. Preferred o Required abilita le passkey rilevabili (senza nome utente)."
"Ceremony Timeout (milliseconds)","Timeout della ceremony (millisecondi)"
"Timeout hint passed to the browser WebAuthn ceremony.","Suggerimento di timeout passato alla ceremony WebAuthn del browser."
"Challenge Lifetime (seconds)","Durata del challenge (secondi)"
"How long a generated challenge remains valid before it expires and must be reissued.","Per quanto tempo un challenge generato rimane valido prima di scadere e dover essere riemesso."
"Required","Obbligatorio"
"Preferred","Preferito"
"Discouraged","Sconsigliato"
"The passkey challenge is invalid.","Il challenge della passkey non è valido."
"The passkey challenge has expired.","Il challenge della passkey è scaduto."
"The passkey challenge has already been used.","Il challenge della passkey è già stato utilizzato."
"The passkey challenge does not match.","Il challenge della passkey non corrisponde."
"The passkey challenge does not match the requested user.","Il challenge della passkey non corrisponde all'utente richiesto."
"The passkey challenge could not be consumed.","Non è stato possibile consumare il challenge della passkey."
"The passkey response is incomplete.","La risposta della passkey è incompleta."
"The passkey client data is missing.","I dati client della passkey sono mancanti."
"The passkey client data could not be read.","Non è stato possibile leggere i dati client della passkey."
"The passkey client data is malformed.","I dati client della passkey sono malformati."
"Unexpected passkey ceremony type.","Tipo di ceremony della passkey inatteso."
"The passkey origin is not allowed.","L'origine della passkey non è consentita."
"The passkey authenticator data is malformed.","I dati dell'autenticatore della passkey sono malformati."
"The passkey attestation is missing required data.","All'attestazione della passkey mancano dati obbligatori."
"The passkey attestation object is missing.","L'oggetto di attestazione della passkey è mancante."
"The passkey attestation object could not be read.","Non è stato possibile leggere l'oggetto di attestazione della passkey."
"The passkey relying party could not be verified.","Non è stato possibile verificare la relying party della passkey."
"User presence was not verified by the authenticator.","La presenza dell'utente non è stata verificata dall'autenticatore."
"User verification is required but was not performed.","La verifica dell'utente è obbligatoria ma non è stata eseguita."
"The passkey credential does not match the attestation.","La credenziale della passkey non corrisponde all'attestazione."
"This passkey is already registered.","Questa passkey è già registrata."
"The passkey credential is not recognised.","La credenziale della passkey non è riconosciuta."
"The passkey credential is no longer active.","La credenziale della passkey non è più attiva."
"The passkey user handle does not match.","L'handle utente della passkey non corrisponde."
"The passkey signature is invalid.","La firma della passkey non è valida."
"The passkey signature is malformed.","La firma della passkey è malformata."
"The passkey sign counter is invalid.","Il contatore di firme della passkey non è valido."
"The passkey login could not be completed.","Non è stato possibile completare l'accesso con passkey."
"The passkey public key is missing.","La chiave pubblica della passkey è mancante."
"The passkey public key is malformed.","La chiave pubblica della passkey è malformata."
"The passkey public key could not be decoded.","Non è stato possibile decodificare la chiave pubblica della passkey."
"Unsupported passkey public key algorithm.","Algoritmo di chiave pubblica della passkey non supportato."
"Unsupported passkey elliptic curve.","Curva ellittica della passkey non supportata."
"Waiting for your passkey…","In attesa della tua passkey…"
"This browser does not support passkeys.","Questo browser non supporta le passkey."
"Manage Other Admins' Passkeys","Gestisci le passkey di altri amministratori"
"Passkey Name Updated","Nome della passkey aggiornato"
"Passkey Setup","Configurazione della passkey"
"My Passkeys","Le mie passkey"
"The passkey could not be found.","Impossibile trovare la passkey."
"Your passkey name has been updated.","Il nome della tua passkey è stato aggiornato."
"Your passkey has been revoked.","La tua passkey è stata revocata."
"The passkey has been revoked.","La passkey è stata revocata."
"Please enter a name for this passkey.","Inserisci un nome per questa passkey."
"The passkey could not be registered. Please try again.","Non è stato possibile registrare la passkey. Riprova."
"The passkey name could not be saved. Please try again.","Non è stato possibile salvare il nome della passkey. Riprova."
"Welcome","Benvenuto"
"Register","Registra"
"Name it","Assegna un nome"
"Finish","Completa"
"Set up a passkey for your Admin account","Configura una passkey per il tuo account admin"
"Passkeys let you sign in with your device biometrics or security key instead of a password. They are phishing-resistant and cannot be reused across sites, which makes them far safer than passwords.","Le passkey ti permettono di accedere con la biometria del tuo dispositivo o una chiave di sicurezza invece di una password. Sono resistenti al phishing e non possono essere riutilizzate tra i siti, il che le rende molto più sicure delle password."
"You can use a built-in fingerprint or face sensor, your phone, or a hardware security key.","Puoi usare un sensore di impronte digitali o del volto integrato, il tuo telefono o una chiave di sicurezza hardware."
"Get started","Inizia"
"Create your passkey","Crea la tua passkey"
"Select ""Create Passkey"" and follow your browser prompt to register this device.","Seleziona ""Crea passkey"" e segui la richiesta del browser per registrare questo dispositivo."
"Create Passkey","Crea passkey"
"Passkey registered","Passkey registrata"
"Give this passkey a name so you can recognise it later.","Assegna un nome a questa passkey per riconoscerla in seguito."
"Passkey name","Nome della passkey"
"e.g. Work laptop","es. Portatile di lavoro"
"Save name","Salva nome"
"You are all set","È tutto pronto"
"We recommend registering a second passkey (for example on your phone) as a backup, so you never lose access to the Admin.","Ti consigliamo di registrare una seconda passkey (ad esempio sul tuo telefono) come backup, così da non perdere mai l'accesso all'area amministrativa."
"Add another passkey","Aggiungi un'altra passkey"
"Continue to Magento Admin","Continua verso l'admin di Magento"
"Add passkey","Aggiungi passkey"
"You have no passkeys yet. Add one to sign in without a password.","Non hai ancora passkey. Aggiungine una per accedere senza password."
"Name","Nome"
"Device","Dispositivo"
"Last Used At","Ultimo utilizzo il"
